Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
EU,Europe,ALB,Albania,1987,Female,Age35_39,[35-39],2,2.22222222,,2.26244344
EU,Europe,ALB,Albania,1987,Female,Age45_49,[45-49],1,0.80645161,,1.47275405
EU,Europe,ALB,Albania,1988,Female,Age50_54,[50-54],0,0,,0
EU,Europe,ALB,Albania,1989,Female,Age35_39,[35-39],2,2.15053763,,2.18579235
EU,Europe,ALB,Albania,1989,Female,Age45_49,[45-49],3,2.5,,4.26742532
EU,Europe,ALB,Albania,1992,Female,Age40_44,[40-44],0,0,,0
EU,Europe,ALB,Albania,1992,Female,Age50_54,[50-54],1,0.52910053,,1.56739812
EU,Europe,ALB,Albania,1993,Female,Age35_39,[35-39],2,2.1978022,,1.81653043
EU,Europe,ALB,Albania,1993,Female,Age45_49,[45-49],2,1.88679245,,2.81690141
EU,Europe,ALB,Albania,1995,Female,Age40_44,[40-44],1,0.93457944,,1.04384134
EU,Europe,ALB,Albania,1996,Female,Age40_44,[40-44],5,4.27350427,,5.192108
EU,Europe,ALB,Albania,1996,Female,Age50_54,[50-54],2,1.32450331,,2.88184438
EU,Europe,ALB,Albania,1997,Female,Age50_54,[50-54],0,0,,0
EU,Europe,ALB,Albania,1998,Female,Age35_39,[35-39],4,3.96039604,,3.16455696
EU,Europe,ALB,Albania,1999,Female,Age35_39,[35-39],3,3.15789474,,2.36406619
EU,Europe,ALB,Albania,1999,Female,Age45_49,[45-49],1,0.79365079,,1.32100396
EU,Europe,ALB,Albania,2001,Female,Age45_49,[45-49],3,2.17391304,,3.59971202
EU,Europe,ALB,Albania,2002,Female,Age35_39,[35-39],1,1.07526882,,0.91646428
EU,Europe,ALB,Albania,2002,Female,Age45_49,[45-49],8,5.63380282,,9.23254472
EU,Europe,ALB,Albania,2003,Female,Age35_39,[35-39],4,4.3956044,,3.69112653
EU,Europe,ALB,Albania,2003,Female,Age45_49,[45-49],4,2.56410256,,4.41106737
EU,Europe,ALB,Albania,2004,Female,Age45_49,[45-49],0,0,,0
EU,Europe,ALB,Albania,2006,Female,Age50_54,[50-54],0,0,,0
EU,Europe,ALB,Albania,1988,Female,Age35_39,[35-39],2,2.40963855,,2.2172949
EU,Europe,ALB,Albania,1988,Female,Age40_44,[40-44],0,0,,0
EU,Europe,ALB,Albania,1994,Female,Age35_39,[35-39],0,0,,0
EU,Europe,ALB,Albania,1994,Female,Age40_44,[40-44],0,0,,0
EU,Europe,ALB,Albania,1994,Female,Age45_49,[45-49],2,2.12765957,,2.7972028
EU,Europe,ALB,Albania,1995,Female,Age45_49,[45-49],0,0,,0
EU,Europe,ALB,Albania,1995,Female,Age50_54,[50-54],2,1.37931034,,2.92825769
EU,Europe,ALB,Albania,2000,Female,Age35_39,[35-39],1,1.05263158,,0.88573959
EU,Europe,ALB,Albania,2000,Female,Age40_44,[40-44],1,0.85470085,,1.13122172
EU,Europe,ALB,Albania,2000,Female,Age45_49,[45-49],0,0,,0
EU,Europe,ALB,Albania,2001,Female,Age35_39,[35-39],5,5.95238095,,4.51642624
EU,Europe,ALB,Albania,2004,Female,Age35_39,[35-39],8,9.52380952,,7.37741956
EU,Europe,ALB,Albania,2004,Female,Age40_44,[40-44],4,3.44827586,,3.5960228
EU,Europe,ALB,Albania,2006,Female,Age35_39,[35-39],0,0,,0
EU,Europe,ALB,Albania,2006,Female,Age40_44,[40-44],0,0,,0
EU,Europe,ALB,Albania,2006,Female,Age45_49,[45-49],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1961,Female,Age35_39,[35-39],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,Female,Age35_39,[35-39],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,Female,Age40_44,[40-44],,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,Female,Age45_49,[45-49],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,Female,Age50_54,[50-54],,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,Female,Age50_54,[50-54],,,,
EU,Europe,ALB,Albania,1987,Female,Age40_44,[40-44],3,4.54545455,,4.51807229
EU,Europe,ALB,Albania,1987,Female,Age50_54,[50-54],0,0,,0
EU,Europe,ALB,Albania,1988,Female,Age45_49,[45-49],2,1.48148148,,2.88600289
EU,Europe,ALB,Albania,1989,Female,Age40_44,[40-44],2,2.02020202,,2.91120815
EU,Europe,ALB,Albania,1989,Female,Age50_54,[50-54],0,0,,0
EU,Europe,ALB,Albania,1992,Female,Age35_39,[35-39],1,1.28205128,,0.93720712
EU,Europe,ALB,Albania,1992,Female,Age45_49,[45-49],0,0,,0
EU,Europe,ALB,Albania,1993,Female,Age40_44,[40-44],2,2.04081633,,2.35017626
EU,Europe,ALB,Albania,1993,Female,Age50_54,[50-54],1,0.53191489,,1.53846154
EU,Europe,ALB,Albania,1994,Female,Age50_54,[50-54],0,0,,0
EU,Europe,ALB,Albania,1995,Female,Age35_39,[35-39],5,5.15463918,,4.16319734
EU,Europe,ALB,Albania,1996,Female,Age35_39,[35-39],1,0.94339623,,0.81300813
