Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
EU,Europe,ALB,Albania,1987,Female,Age75_79,[75-79],0,0,,0
EU,Europe,ALB,Albania,1987,Female,Age85_over,[85+],1,0.07183908,,15.38461539
EU,Europe,ALB,Albania,1989,Female,Age75_79,[75-79],0,0,,0
EU,Europe,ALB,Albania,1989,Female,Age85_over,[85+],0,0,,0
EU,Europe,ALB,Albania,1992,Female,Age80_84,[80-84],0,0,,0
EU,Europe,ALB,Albania,1993,Female,Age85_over,[85+],0,0,,0
EU,Europe,ALB,Albania,1995,Female,Age80_84,[80-84],1,0.10695187,,7.14285714
EU,Europe,ALB,Albania,1996,Female,Age80_84,[80-84],1,0.10638298,,7.09219858
EU,Europe,ALB,Albania,1998,Female,Age75_79,[75-79],0,0,,0
EU,Europe,ALB,Albania,1999,Female,Age75_79,[75-79],3,0.30959752,,14.35406699
EU,Europe,ALB,Albania,1999,Female,Age85_over,[85+],1,0.07513148,,14.28571429
EU,Europe,ALB,Albania,2001,Female,Age85_over,[85+],1,0.0694927,,9.77421562
EU,Europe,ALB,Albania,2002,Female,Age85_over,[85+],0,0,,0
EU,Europe,ALB,Albania,2003,Female,Age75_79,[75-79],5,0.42158516,,20.53641106
EU,Europe,ALB,Albania,2003,Female,Age85_over,[85+],0,0,,0
EU,Europe,ALB,Albania,2004,Female,Age85_over,[85+],0,0,,0
EU,Europe,ALB,Albania,2007,Female,Age75_79,[75-79],0,0,,0
EU,Europe,ALB,Albania,2007,Female,Age85_over,[85+],1,0.05521811,,7.99296619
EU,Europe,ALB,Albania,2008,Female,Age75_79,[75-79],2,0.18066847,,6.792094
EU,Europe,ALB,Albania,2008,Female,Age85_over,[85+],1,0.04770992,,7.8320802
EU,Europe,ALB,Albania,2010,Female,Age80_84,[80-84],1,0.10298661,,5.35188654
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1961,Female,Age80_84,[80-84],,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1962,Female,Age75_79,[75-79],0,0,,
EU,Europe,ALB,Albania,1987,Female,Age80_84,[80-84],0,0,,0
EU,Europe,ALB,Albania,1989,Female,Age80_84,[80-84],0,0,,0
EU,Europe,ALB,Albania,1992,Female,Age75_79,[75-79],0,0,,0
EU,Europe,ALB,Albania,1992,Female,Age85_over,[85+],0,0,,0
EU,Europe,ALB,Albania,1993,Female,Age80_84,[80-84],0,0,,0
EU,Europe,ALB,Albania,1995,Female,Age75_79,[75-79],1,0.12919897,,5
EU,Europe,ALB,Albania,1996,Female,Age75_79,[75-79],0,0,,0
EU,Europe,ALB,Albania,1996,Female,Age85_over,[85+],1,0.067659,,14.70588235
EU,Europe,ALB,Albania,1998,Female,Age80_84,[80-84],0,0,,0
EU,Europe,ALB,Albania,1999,Female,Age80_84,[80-84],0,0,,0
EU,Europe,ALB,Albania,2002,Female,Age80_84,[80-84],1,0.08396306,,6.71817266
EU,Europe,ALB,Albania,2003,Female,Age80_84,[80-84],1,0.06958942,,6.32391071
EU,Europe,ALB,Albania,2007,Female,Age80_84,[80-84],2,0.16949153,,12.30920729
EU,Europe,ALB,Albania,2008,Female,Age80_84,[80-84],2,0.15612802,,11.65840863
EU,Europe,ALB,Albania,2010,Female,Age75_79,[75-79],1,0.12285012,,3.1445552
EU,Europe,ALB,Albania,2010,Female,Age85_over,[85+],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1961,Female,Age85_over,[85+],,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1962,Female,Age80_84,[80-84],,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,Female,Age75_79,[75-79],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,Female,Age85_over,[85+],,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1971,Female,Age85_over,[85+],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1972,Female,Age75_79,[75-79],0,0,,0
EU,Europe,ALB,Albania,1997,Female,Age75_79,[75-79],1,0.12903226,,4.83091787
EU,Europe,ALB,Albania,1997,Female,Age80_84,[80-84],0,0,,0
EU,Europe,ALB,Albania,1997,Female,Age85_over,[85+],1,0.07656968,,14.28571429
EU,Europe,ALB,Albania,1998,Female,Age85_over,[85+],0,0,,0
EU,Europe,ALB,Albania,2005,Female,Age75_79,[75-79],0,0,,0
EU,Europe,ALB,Albania,2005,Female,Age80_84,[80-84],0,0,,0
EU,Europe,ALB,Albania,2005,Female,Age85_over,[85+],0,0,,0
EU,Europe,ALB,Albania,2009,Female,Age75_79,[75-79],0,0,,0
EU,Europe,ALB,Albania,2009,Female,Age80_84,[80-84],0,0,,0
EU,Europe,ALB,Albania,2009,Female,Age85_over,[85+],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1962,Female,Age85_over,[85+],,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1970,Female,Age75_79,[75-79],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1970,Female,Age80_84,[80-84],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1970,Female,Age85_over,[85+],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1973,Female,Age85_over,[85+],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1975,Female,Age75_79,[75-79],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1975,Female,Age80_84,[80-84],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1975,Female,Age85_over,[85+],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1978,Female,Age85_over,[85+],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1987,Female,Age75_79,[75-79],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,Female,Age80_84,[80-84],,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1971,Female,Age80_84,[80-84],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1972,Female,Age80_84,[80-84],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1973,Female,Age80_84,[80-84],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1976,Female,Age85_over,[85+],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1977,Female,Age75_79,[75-79],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1977,Female,Age85_over,[85+],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1978,Female,Age75_79,[75-79],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1985,Female,Age75_79,[75-79],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1985,Female,Age85_over,[85+],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1986,Female,Age80_84,[80-84],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1987,Female,Age80_84,[80-84],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1993,Female,Age80_84,[80-84],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1995,Female,Age75_79,[75-79],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1998,Female,Age75_79,[75-79],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1998,Female,Age85_over,[85+],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2001,Female,Age75_79,[75-79],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2001,Female,Age85_over,[85+],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1972,Female,Age85_over,[85+],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1973,Female,Age75_79,[75-79],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1976,Female,Age80_84,[80-84],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1977,Female,Age80_84,[80-84],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1978,Female,Age80_84,[80-84],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1985,Female,Age80_84,[80-84],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1986,Female,Age75_79,[75-79],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1986,Female,Age85_over,[85+],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1987,Female,Age85_over,[85+],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1992,Female,Age75_79,[75-79],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1993,Female,Age75_79,[75-79],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1994,Female,Age85_over,[85+],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1998,Female,Age80_84,[80-84],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2000,Female,Age75_79,[75-79],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2001,Female,Age80_84,[80-84],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2002,Female,Age85_over,[85+],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2005,Female,Age75_79,[75-79],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2005,Female,Age85_over,[85+],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1995,Female,Age80_84,[80-84],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1995,Female,Age85_over,[85+],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2002,Female,Age75_79,[75-79],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2003,Female,Age75_79,[75-79],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2003,Female,Age80_84,[80-84],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2003,Female,Age85_over,[85+],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2004,Female,Age80_84,[80-84],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2004,Female,Age85_over,[85+],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2012,Female,Age75_79,[75-79],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2012,Female,Age80_84,[80-84],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2013,Female,Age75_79,[75-79],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2013,Female,Age80_84,[80-84],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2013,Female,Age85_over,[85+],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2014,Female,Age85_over,[85+],0,0,,0
CSA,Central and South America,ARG,Argentina,1967,Female,Age80_84,[80-84],5,0.06638343,,6.32911392
CSA,Central and South America,ARG,Argentina,1967,Female,Age85_over,[85+],2,0.02656395,,5.26315789
CSA,Central and South America,ARG,Argentina,1968,Female,Age75_79,[75-79],9,0.09701412,,5.92105263
CSA,Central and South America,ARG,Argentina,1969,Female,Age75_79,[75-79],9,0.09190238,,5.76923077
CSA,Central and South America,ARG,Argentina,1969,Female,Age80_84,[80-84],10,0.113199,,11.23595506
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2002,Female,Age80_84,[80-84],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2004,Female,Age75_79,[75-79],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2005,Female,Age80_84,[80-84],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2006,Female,Age85_over,[85+],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2008,Female,Age80_84,[80-84],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2009,Female,Age75_79,[75-79],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2009,Female,Age85_over,[85+],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2014,Female,Age75_79,[75-79],0,0,,0
CSA,Central and South America,ARG,Argentina,1966,Female,Age80_84,[80-84],7,0.11511265,,9.33333333
CSA,Central and South America,ARG,Argentina,1967,Female,Age75_79,[75-79],8,0.093338,,5.40540541
CSA,Central and South America,ARG,Argentina,1968,Female,Age85_over,[85+],4,0.04670715,,10
CSA,Central and South America,ARG,Argentina,1969,Female,Age85_over,[85+],2,0.02234887,,4.54545455
CSA,Central and South America,ARG,Argentina,1970,Female,Age75_79,[75-79],8,0.08291874,,5.03144654
CSA,Central and South America,ARG,Argentina,1970,Female,Age85_over,[85+],3,0.03398663,,5.66037736
CSA,Central and South America,ARG,Argentina,1977,Female,Age75_79,[75-79],16,0.13338891,,7.51173709
