Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
EU,Europe,ALB,Albania,1987,Female,Age_unknown,[Unknown],0,,,
EU,Europe,ALB,Albania,1988,Female,Age_unknown,[Unknown],0,,,
EU,Europe,ALB,Albania,1989,Female,Age_unknown,[Unknown],0,,,
EU,Europe,ALB,Albania,1992,Female,Age_unknown,[Unknown],0,,,
EU,Europe,ALB,Albania,1993,Female,Age_unknown,[Unknown],0,0,,
EU,Europe,ALB,Albania,1994,Female,Age_unknown,[Unknown],0,0,,
EU,Europe,ALB,Albania,1995,Female,Age_unknown,[Unknown],0,0,,
EU,Europe,ALB,Albania,1996,Female,Age_unknown,[Unknown],0,0,,
EU,Europe,ALB,Albania,1997,Female,Age_unknown,[Unknown],0,0,,
EU,Europe,ALB,Albania,1998,Female,Age_unknown,[Unknown],3,2.5,,
EU,Europe,ALB,Albania,1999,Female,Age_unknown,[Unknown],5,3.64963504,,
EU,Europe,ALB,Albania,2000,Female,Age_unknown,[Unknown],2,0.6779661,,
EU,Europe,ALB,Albania,2001,Female,Age_unknown,[Unknown],0,,,
EU,Europe,ALB,Albania,2002,Female,Age_unknown,[Unknown],0,0,,
EU,Europe,ALB,Albania,2003,Female,Age_unknown,[Unknown],0,,,
EU,Europe,ALB,Albania,2004,Female,Age_unknown,[Unknown],0,,,
EU,Europe,ALB,Albania,2005,Female,Age_unknown,[Unknown],0,,,
EU,Europe,ALB,Albania,2006,Female,Age_unknown,[Unknown],0,,,
EU,Europe,ALB,Albania,2007,Female,Age_unknown,[Unknown],0,,,
EU,Europe,ALB,Albania,2008,Female,Age_unknown,[Unknown],0,,,
EU,Europe,ALB,Albania,2009,Female,Age_unknown,[Unknown],0,,,
EU,Europe,ALB,Albania,2010,Female,Age_unknown,[Unknown],0,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1961,Female,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1962,Female,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,Female,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,Female,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1966,Female,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1969,Female,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1970,Female,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1971,Female,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1972,Female,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1973,Female,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1974,Female,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1975,Female,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1976,Female,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1977,Female,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1978,Female,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1983,Female,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1985,Female,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1986,Female,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1987,Female,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1988,Female,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1989,Female,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1990,Female,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1991,Female,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1992,Female,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1993,Female,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1994,Female,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1995,Female,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1998,Female,Age_unknown,[Unknown],0,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1999,Female,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2000,Female,Age_unknown,[Unknown],0,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2001,Female,Age_unknown,[Unknown],0,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2002,Female,Age_unknown,[Unknown],0,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2003,Female,Age_unknown,[Unknown],0,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2004,Female,Age_unknown,[Unknown],0,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2005,Female,Age_unknown,[Unknown],0,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2006,Female,Age_unknown,[Unknown],0,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2007,Female,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2008,Female,Age_unknown,[Unknown],0,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2009,Female,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2012,Female,Age_unknown,[Unknown],0,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2013,Female,Age_unknown,[Unknown],0,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2014,Female,Age_unknown,[Unknown],0,,,
