Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
EU,Europe,ALB,Albania,1987,Male,Age45_49,[45-49],4,1.48148148,,5.39811066
EU,Europe,ALB,Albania,1987,Male,Age50_54,[50-54],5,1.42450142,,7.78816199
EU,Europe,ALB,Albania,1988,Male,Age45_49,[45-49],6,2.5210084,,7.94701987
EU,Europe,ALB,Albania,1988,Male,Age50_54,[50-54],3,0.82191781,,4.58015267
EU,Europe,ALB,Albania,1989,Male,Age50_54,[50-54],4,0.9569378,,6.02409639
EU,Europe,ALB,Albania,1992,Male,Age50_54,[50-54],1,0.27322404,,1.41843972
EU,Europe,ALB,Albania,1993,Male,Age50_54,[50-54],4,1.08695652,,5.61797753
EU,Europe,ALB,Albania,1994,Male,Age35_39,[35-39],1,0.60240964,,0.85251492
EU,Europe,ALB,Albania,1994,Male,Age40_44,[40-44],2,1.18343195,,2.08986416
EU,Europe,ALB,Albania,1994,Male,Age45_49,[45-49],4,2.15053763,,5.16129032
EU,Europe,ALB,Albania,1995,Male,Age45_49,[45-49],2,1.06951872,,2.55427842
EU,Europe,ALB,Albania,1995,Male,Age50_54,[50-54],6,1.88679245,,8.16326531
EU,Europe,ALB,Albania,2000,Male,Age35_39,[35-39],2,0.99502488,,1.6273393
EU,Europe,ALB,Albania,2000,Male,Age40_44,[40-44],0,0,,0
EU,Europe,ALB,Albania,2000,Male,Age45_49,[45-49],0,0,,0
EU,Europe,ALB,Albania,2004,Male,Age35_39,[35-39],10,6.25,,9.79652615
EU,Europe,ALB,Albania,2004,Male,Age40_44,[40-44],11,4.41767068,,9.91357168
EU,Europe,ALB,Albania,2009,Male,Age35_39,[35-39],0,0,,0
EU,Europe,ALB,Albania,2009,Male,Age40_44,[40-44],0,0,,0
EU,Europe,ALB,Albania,2010,Male,Age35_39,[35-39],3,3.19148936,,3.67561475
EU,Europe,ALB,Albania,2010,Male,Age40_44,[40-44],5,4.54545455,,5.52053085
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1961,Male,Age35_39,[35-39],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,Male,Age50_54,[50-54],,,,
EU,Europe,ALB,Albania,1987,Male,Age35_39,[35-39],3,2.77777778,,3.1282586
EU,Europe,ALB,Albania,1988,Male,Age40_44,[40-44],2,1.42857143,,2.6560425
EU,Europe,ALB,Albania,1989,Male,Age35_39,[35-39],2,1.44927536,,2.01816347
EU,Europe,ALB,Albania,1989,Male,Age45_49,[45-49],5,2.16450216,,6.52741514
EU,Europe,ALB,Albania,1992,Male,Age40_44,[40-44],3,1.42857143,,3.42857143
EU,Europe,ALB,Albania,1993,Male,Age35_39,[35-39],1,0.51546392,,0.89525515
EU,Europe,ALB,Albania,1993,Male,Age45_49,[45-49],2,1.12359551,,2.61096606
EU,Europe,ALB,Albania,1995,Male,Age40_44,[40-44],2,1.03092784,,1.98412698
EU,Europe,ALB,Albania,1996,Male,Age40_44,[40-44],2,1.14942529,,1.96463654
EU,Europe,ALB,Albania,1996,Male,Age50_54,[50-54],2,0.61919505,,2.69541779
EU,Europe,ALB,Albania,1997,Male,Age50_54,[50-54],8,2.38095238,,10.75268817
EU,Europe,ALB,Albania,1998,Male,Age35_39,[35-39],6,2.5751073,,4.71327573
EU,Europe,ALB,Albania,1999,Male,Age35_39,[35-39],12,5.63380282,,9.35307872
EU,Europe,ALB,Albania,1999,Male,Age45_49,[45-49],8,3.21285141,,9.81595092
EU,Europe,ALB,Albania,2003,Male,Age45_49,[45-49],10,3.62318841,,10.59434262
EU,Europe,ALB,Albania,2004,Male,Age45_49,[45-49],12,3.83386581,,12.04577394
EU,Europe,ALB,Albania,2005,Male,Age40_44,[40-44],0,0,,0
EU,Europe,ALB,Albania,2005,Male,Age50_54,[50-54],0,0,,0
EU,Europe,ALB,Albania,2006,Male,Age40_44,[40-44],0,0,,0
EU,Europe,ALB,Albania,2006,Male,Age50_54,[50-54],0,0,,0
EU,Europe,ALB,Albania,2007,Male,Age45_49,[45-49],9,3.61445783,,8.59787728
EU,Europe,ALB,Albania,2008,Male,Age45_49,[45-49],10,3.3557047,,9.51257563
EU,Europe,ALB,Albania,2009,Male,Age45_49,[45-49],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1966,Male,Age35_39,[35-39],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1966,Male,Age40_44,[40-44],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1966,Male,Age45_49,[45-49],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1966,Male,Age50_54,[50-54],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1970,Male,Age35_39,[35-39],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1970,Male,Age40_44,[40-44],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1973,Male,Age40_44,[40-44],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1973,Male,Age45_49,[45-49],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1973,Male,Age50_54,[50-54],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1975,Male,Age35_39,[35-39],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1975,Male,Age40_44,[40-44],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1978,Male,Age45_49,[45-49],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1978,Male,Age50_54,[50-54],0,0,,0
