Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
EU,Europe,ALB,Albania,1987,Male,Age75_79,[75-79],1,0.08952551,,8.06451613
EU,Europe,ALB,Albania,1987,Male,Age85_over,[85+],0,0,,0
EU,Europe,ALB,Albania,1988,Male,Age80_84,[80-84],0,0,,0
EU,Europe,ALB,Albania,1989,Male,Age75_79,[75-79],2,0.16326531,,15.625
EU,Europe,ALB,Albania,1989,Male,Age85_over,[85+],0,0,,0
EU,Europe,ALB,Albania,1992,Male,Age80_84,[80-84],0,0,,0
EU,Europe,ALB,Albania,1993,Male,Age75_79,[75-79],1,0.10537408,,7.29927007
EU,Europe,ALB,Albania,1993,Male,Age85_over,[85+],0,0,,0
EU,Europe,ALB,Albania,1995,Male,Age80_84,[80-84],0,0,,0
EU,Europe,ALB,Albania,1996,Male,Age80_84,[80-84],0,0,,0
EU,Europe,ALB,Albania,1998,Male,Age75_79,[75-79],2,0.1532567,,13.88888889
EU,Europe,ALB,Albania,1999,Male,Age85_over,[85+],0,0,,0
EU,Europe,ALB,Albania,2003,Male,Age85_over,[85+],0,0,,0
EU,Europe,ALB,Albania,2005,Male,Age80_84,[80-84],0,0,,0
EU,Europe,ALB,Albania,2006,Male,Age80_84,[80-84],0,0,,0
EU,Europe,ALB,Albania,2007,Male,Age85_over,[85+],4,0.3606853,,65.64910553
EU,Europe,ALB,Albania,2008,Male,Age85_over,[85+],0,0,,0
EU,Europe,ALB,Albania,2009,Male,Age85_over,[85+],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1961,Male,Age80_84,[80-84],,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1962,Male,Age75_79,[75-79],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,Male,Age80_84,[80-84],,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1970,Male,Age85_over,[85+],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1971,Male,Age85_over,[85+],0,0,,0
EU,Europe,ALB,Albania,1996,Male,Age75_79,[75-79],1,0.08857396,,7.09219858
EU,Europe,ALB,Albania,1997,Male,Age75_79,[75-79],2,0.17286085,,14.18439716
EU,Europe,ALB,Albania,1997,Male,Age80_84,[80-84],0,0,,0
EU,Europe,ALB,Albania,1997,Male,Age85_over,[85+],1,0.11655012,,33.33333333
EU,Europe,ALB,Albania,1998,Male,Age85_over,[85+],1,0.10976948,,33.33333333
EU,Europe,ALB,Albania,2001,Male,Age75_79,[75-79],1,0.09416196,,5.97978832
EU,Europe,ALB,Albania,2001,Male,Age80_84,[80-84],0,0,,0
EU,Europe,ALB,Albania,2001,Male,Age85_over,[85+],0,0,,0
EU,Europe,ALB,Albania,2002,Male,Age75_79,[75-79],2,0.16207455,,11.97318008
EU,Europe,ALB,Albania,2002,Male,Age80_84,[80-84],1,0.08361204,,10.15022331
EU,Europe,ALB,Albania,2002,Male,Age85_over,[85+],1,0.10298661,,22.46686138
EU,Europe,ALB,Albania,2003,Male,Age75_79,[75-79],1,0.07627765,,5.68214103
EU,Europe,ALB,Albania,2003,Male,Age80_84,[80-84],0,0,,0
EU,Europe,ALB,Albania,2005,Male,Age75_79,[75-79],0,0,,0
EU,Europe,ALB,Albania,2007,Male,Age75_79,[75-79],3,0.22288262,,11.73892628
EU,Europe,ALB,Albania,2007,Male,Age80_84,[80-84],1,0.10471204,,9.33096949
EU,Europe,ALB,Albania,2008,Male,Age75_79,[75-79],2,0.13550136,,7.56544107
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1962,Male,Age85_over,[85+],,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,Male,Age75_79,[75-79],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,Male,Age80_84,[80-84],,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,Male,Age85_over,[85+],,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1969,Male,Age75_79,[75-79],0,0,,0
EU,Europe,ALB,Albania,1987,Male,Age80_84,[80-84],0,0,,0
EU,Europe,ALB,Albania,1988,Male,Age75_79,[75-79],1,0.08460237,,7.87401575
EU,Europe,ALB,Albania,1988,Male,Age85_over,[85+],0,0,,0
EU,Europe,ALB,Albania,1989,Male,Age80_84,[80-84],0,0,,0
EU,Europe,ALB,Albania,1992,Male,Age75_79,[75-79],0,0,,0
EU,Europe,ALB,Albania,1992,Male,Age85_over,[85+],0,0,,0
EU,Europe,ALB,Albania,1993,Male,Age80_84,[80-84],0,0,,0
EU,Europe,ALB,Albania,1995,Male,Age75_79,[75-79],1,0.09823183,,7.1942446
EU,Europe,ALB,Albania,1996,Male,Age85_over,[85+],1,0.10235415,,33.33333333
EU,Europe,ALB,Albania,1998,Male,Age80_84,[80-84],0,0,,0
EU,Europe,ALB,Albania,1999,Male,Age80_84,[80-84],2,0.25773196,,23.80952381
EU,Europe,ALB,Albania,2005,Male,Age85_over,[85+],0,0,,0
EU,Europe,ALB,Albania,2006,Male,Age75_79,[75-79],0,0,,0
EU,Europe,ALB,Albania,2006,Male,Age85_over,[85+],0,0,,0
EU,Europe,ALB,Albania,2008,Male,Age80_84,[80-84],0,0,,0
EU,Europe,ALB,Albania,2010,Male,Age85_over,[85+],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1961,Male,Age85_over,[85+],,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1962,Male,Age80_84,[80-84],,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,Male,Age75_79,[75-79],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,Male,Age85_over,[85+],,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1971,Male,Age80_84,[80-84],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1972,Male,Age80_84,[80-84],0,0,,0
EU,Europe,ALB,Albania,1994,Male,Age75_79,[75-79],2,0.21482277,,14.49275362
EU,Europe,ALB,Albania,1994,Male,Age80_84,[80-84],0,0,,0
EU,Europe,ALB,Albania,1994,Male,Age85_over,[85+],0,0,,0
EU,Europe,ALB,Albania,1995,Male,Age85_over,[85+],0,0,,0
EU,Europe,ALB,Albania,1999,Male,Age75_79,[75-79],1,0.08576329,,6.89655172
EU,Europe,ALB,Albania,2000,Male,Age75_79,[75-79],1,0.08605852,,7.1942446
EU,Europe,ALB,Albania,2000,Male,Age80_84,[80-84],0,0,,0
EU,Europe,ALB,Albania,2000,Male,Age85_over,[85+],0,0,,0
EU,Europe,ALB,Albania,2004,Male,Age75_79,[75-79],3,0.20519836,,14.96184729
EU,Europe,ALB,Albania,2004,Male,Age80_84,[80-84],0,0,,0
EU,Europe,ALB,Albania,2004,Male,Age85_over,[85+],1,0.08718396,,22.27667632
