Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
EU,Europe,ALB,Albania,1987,Male,Age_unknown,[Unknown],0,,,
EU,Europe,ALB,Albania,1988,Male,Age_unknown,[Unknown],0,,,
EU,Europe,ALB,Albania,1989,Male,Age_unknown,[Unknown],0,,,
EU,Europe,ALB,Albania,1992,Male,Age_unknown,[Unknown],0,,,
EU,Europe,ALB,Albania,1993,Male,Age_unknown,[Unknown],0,0,,
EU,Europe,ALB,Albania,1994,Male,Age_unknown,[Unknown],2,1.03092784,,
EU,Europe,ALB,Albania,1995,Male,Age_unknown,[Unknown],3,1.81818182,,
EU,Europe,ALB,Albania,1996,Male,Age_unknown,[Unknown],3,1.3215859,,
EU,Europe,ALB,Albania,1997,Male,Age_unknown,[Unknown],6,1.49625935,,
EU,Europe,ALB,Albania,1998,Male,Age_unknown,[Unknown],8,2.94117647,,
EU,Europe,ALB,Albania,1999,Male,Age_unknown,[Unknown],10,3.14465409,,
EU,Europe,ALB,Albania,2000,Male,Age_unknown,[Unknown],1,0.20491803,,
EU,Europe,ALB,Albania,2001,Male,Age_unknown,[Unknown],0,,,
EU,Europe,ALB,Albania,2002,Male,Age_unknown,[Unknown],0,,,
EU,Europe,ALB,Albania,2003,Male,Age_unknown,[Unknown],0,,,
EU,Europe,ALB,Albania,2004,Male,Age_unknown,[Unknown],0,,,
EU,Europe,ALB,Albania,2005,Male,Age_unknown,[Unknown],0,,,
EU,Europe,ALB,Albania,2006,Male,Age_unknown,[Unknown],0,,,
EU,Europe,ALB,Albania,2007,Male,Age_unknown,[Unknown],0,,,
EU,Europe,ALB,Albania,2008,Male,Age_unknown,[Unknown],0,,,
EU,Europe,ALB,Albania,2009,Male,Age_unknown,[Unknown],0,,,
EU,Europe,ALB,Albania,2010,Male,Age_unknown,[Unknown],0,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1961,Male,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1962,Male,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,Male,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,Male,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1966,Male,Age_unknown,[Unknown],0,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1969,Male,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1970,Male,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1971,Male,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1972,Male,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1973,Male,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1974,Male,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1975,Male,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1976,Male,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1977,Male,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1978,Male,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1983,Male,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1985,Male,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1986,Male,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1987,Male,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1988,Male,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1989,Male,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1990,Male,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1991,Male,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1992,Male,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1993,Male,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1994,Male,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1995,Male,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1998,Male,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1999,Male,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2000,Male,Age_unknown,[Unknown],0,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2001,Male,Age_unknown,[Unknown],0,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2002,Male,Age_unknown,[Unknown],0,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2003,Male,Age_unknown,[Unknown],0,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2004,Male,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2005,Male,Age_unknown,[Unknown],0,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2006,Male,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2007,Male,Age_unknown,[Unknown],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2008,Male,Age_unknown,[Unknown],0,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2009,Male,Age_unknown,[Unknown],0,,,
