Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
CSA,Central and South America,BRA,Brazil,1996,Unknown,Age40_44,[40-44],1,1.61290323,,
CSA,Central and South America,BRA,Brazil,1996,Unknown,Age45_49,[45-49],0,0,,
CSA,Central and South America,BRA,Brazil,1996,Unknown,Age50_54,[50-54],0,0,,
CSA,Central and South America,BRA,Brazil,1997,Unknown,Age35_39,[35-39],0,0,,
CSA,Central and South America,BRA,Brazil,1997,Unknown,Age40_44,[40-44],0,0,,
CSA,Central and South America,BRA,Brazil,1998,Unknown,Age35_39,[35-39],0,0,,
CSA,Central and South America,BRA,Brazil,1998,Unknown,Age40_44,[40-44],0,0,,
CSA,Central and South America,BRA,Brazil,2007,Unknown,Age40_44,[40-44],0,0,,
CSA,Central and South America,BRA,Brazil,2007,Unknown,Age45_49,[45-49],0,0,,
CSA,Central and South America,BRA,Brazil,2007,Unknown,Age50_54,[50-54],0,0,,
CSA,Central and South America,BRA,Brazil,2012,Unknown,Age50_54,[50-54],0,0,,
CSA,Central and South America,BRA,Brazil,2013,Unknown,Age40_44,[40-44],0,0,,
CSA,Central and South America,BRA,Brazil,2013,Unknown,Age45_49,[45-49],0,0,,
CSA,Central and South America,BRA,Brazil,2013,Unknown,Age50_54,[50-54],0,0,,
CSA,Central and South America,BRA,Brazil,2014,Unknown,Age35_39,[35-39],0,0,,
CSA,Central and South America,BRA,Brazil,2014,Unknown,Age40_44,[40-44],0,0,,
CSA,Central and South America,COL,Colombia,2000,Unknown,Age40_44,[40-44],0,,,
CSA,Central and South America,COL,Colombia,2000,Unknown,Age45_49,[45-49],0,,,
CSA,Central and South America,COL,Colombia,2000,Unknown,Age50_54,[50-54],0,,,
CSA,Central and South America,COL,Colombia,2003,Unknown,Age35_39,[35-39],0,0,,
CSA,Central and South America,COL,Colombia,2007,Unknown,Age50_54,[50-54],0,0,,
CSA,Central and South America,ARG,Argentina,1997,Unknown,Age40_44,[40-44],2,1.9047619,,
CSA,Central and South America,ARG,Argentina,1997,Unknown,Age50_54,[50-54],2,1.18343195,,
CSA,Central and South America,ARG,Argentina,1998,Unknown,Age40_44,[40-44],0,0,,
CSA,Central and South America,ARG,Argentina,1998,Unknown,Age50_54,[50-54],0,0,,
CSA,Central and South America,ARG,Argentina,2001,Unknown,Age50_54,[50-54],0,0,,
CSA,Central and South America,ARG,Argentina,2002,Unknown,Age40_44,[40-44],0,0,,
CSA,Central and South America,ARG,Argentina,2003,Unknown,Age35_39,[35-39],0,0,,
CSA,Central and South America,ARG,Argentina,2003,Unknown,Age45_49,[45-49],0,0,,
CSA,Central and South America,ARG,Argentina,2004,Unknown,Age40_44,[40-44],0,0,,
CSA,Central and South America,ARG,Argentina,2004,Unknown,Age50_54,[50-54],0,0,,
CSA,Central and South America,ARG,Argentina,2005,Unknown,Age35_39,[35-39],0,0,,
CSA,Central and South America,ARG,Argentina,2005,Unknown,Age45_49,[45-49],0,,,
CSA,Central and South America,ARG,Argentina,2006,Unknown,Age40_44,[40-44],1,50,,
CSA,Central and South America,ARG,Argentina,2006,Unknown,Age50_54,[50-54],1,50,,
CSA,Central and South America,ARG,Argentina,2008,Unknown,Age40_44,[40-44],0,0,,
CSA,Central and South America,ARG,Argentina,2009,Unknown,Age35_39,[35-39],0,0,,
CSA,Central and South America,ARG,Argentina,2010,Unknown,Age50_54,[50-54],0,0,,
CSA,Central and South America,ARG,Argentina,2012,Unknown,Age40_44,[40-44],0,0,,
CSA,Central and South America,ARG,Argentina,2013,Unknown,Age45_49,[45-49],0,0,,
CSA,Central and South America,ARG,Argentina,2014,Unknown,Age40_44,[40-44],0,0,,
EU,Europe,BEL,Belgium,1998,Unknown,Age35_39,[35-39],0,,,
CSA,Central and South America,BRA,Brazil,1996,Unknown,Age35_39,[35-39],1,2.12765957,,
CSA,Central and South America,BRA,Brazil,1997,Unknown,Age45_49,[45-49],0,0,,
CSA,Central and South America,BRA,Brazil,1998,Unknown,Age45_49,[45-49],2,5.40540541,,
CSA,Central and South America,BRA,Brazil,2001,Unknown,Age45_49,[45-49],0,0,,
CSA,Central and South America,BRA,Brazil,2002,Unknown,Age40_44,[40-44],1,25,,
CSA,Central and South America,BRA,Brazil,2002,Unknown,Age50_54,[50-54],0,0,,
CSA,Central and South America,BRA,Brazil,2007,Unknown,Age35_39,[35-39],0,0,,
CSA,Central and South America,BRA,Brazil,2009,Unknown,Age35_39,[35-39],0,0,,
CSA,Central and South America,BRA,Brazil,2009,Unknown,Age45_49,[45-49],0,0,,
CSA,Central and South America,BRA,Brazil,2012,Unknown,Age35_39,[35-39],0,0,,
CSA,Central and South America,BRA,Brazil,2012,Unknown,Age45_49,[45-49],0,0,,
CSA,Central and South America,BRA,Brazil,2013,Unknown,Age35_39,[35-39],0,0,,
CSA,Central and South America,BRA,Brazil,2014,Unknown,Age50_54,[50-54],0,0,,
CSA,Central and South America,COL,Colombia,1998,Unknown,Age50_54,[50-54],1,33.33333333,,
CSA,Central and South America,COL,Colombia,1999,Unknown,Age40_44,[40-44],1,14.28571429,,
CSA,Central and South America,COL,Colombia,1999,Unknown,Age50_54,[50-54],0,,,
CSA,Central and South America,COL,Colombia,2000,Unknown,Age35_39,[35-39],0,0,,
CSA,Central and South America,COL,Colombia,2003,Unknown,Age40_44,[40-44],0,0,,
CSA,Central and South America,COL,Colombia,2003,Unknown,Age50_54,[50-54],0,0,,
CSA,Central and South America,COL,Colombia,2007,Unknown,Age40_44,[40-44],0,,,
CSA,Central and South America,ARG,Argentina,1998,Unknown,Age35_39,[35-39],0,0,,
CSA,Central and South America,ARG,Argentina,2000,Unknown,Age35_39,[35-39],0,0,,
CSA,Central and South America,ARG,Argentina,2000,Unknown,Age40_44,[40-44],0,,,
CSA,Central and South America,ARG,Argentina,2000,Unknown,Age45_49,[45-49],0,0,,
CSA,Central and South America,ARG,Argentina,2000,Unknown,Age50_54,[50-54],0,0,,
CSA,Central and South America,ARG,Argentina,2002,Unknown,Age45_49,[45-49],0,0,,
CSA,Central and South America,ARG,Argentina,2002,Unknown,Age50_54,[50-54],0,0,,
CSA,Central and South America,ARG,Argentina,2003,Unknown,Age50_54,[50-54],0,0,,
CSA,Central and South America,ARG,Argentina,2005,Unknown,Age50_54,[50-54],0,0,,
CSA,Central and South America,ARG,Argentina,2006,Unknown,Age35_39,[35-39],0,0,,
CSA,Central and South America,ARG,Argentina,2010,Unknown,Age35_39,[35-39],0,,,
CSA,Central and South America,ARG,Argentina,2010,Unknown,Age40_44,[40-44],1,16.66666667,,
CSA,Central and South America,ARG,Argentina,2011,Unknown,Age35_39,[35-39],0,0,,
CSA,Central and South America,ARG,Argentina,2011,Unknown,Age40_44,[40-44],0,0,,
CSA,Central and South America,ARG,Argentina,2011,Unknown,Age45_49,[45-49],0,0,,
CSA,Central and South America,ARG,Argentina,2011,Unknown,Age50_54,[50-54],0,0,,
CSA,Central and South America,ARG,Argentina,2012,Unknown,Age50_54,[50-54],0,0,,
CSA,Central and South America,ARG,Argentina,2014,Unknown,Age35_39,[35-39],0,0,,
CSA,Central and South America,MEX,Mexico,2003,Unknown,Age40_44,[40-44],0,0,,
CSA,Central and South America,MEX,Mexico,2003,Unknown,Age45_49,[45-49],0,0,,
CSA,Central and South America,ARG,Argentina,1997,Unknown,Age35_39,[35-39],1,1.2987013,,
CSA,Central and South America,ARG,Argentina,1997,Unknown,Age45_49,[45-49],1,0.72992701,,
CSA,Central and South America,ARG,Argentina,1998,Unknown,Age45_49,[45-49],0,0,,
CSA,Central and South America,ARG,Argentina,2001,Unknown,Age45_49,[45-49],0,0,,
CSA,Central and South America,ARG,Argentina,2002,Unknown,Age35_39,[35-39],0,,,
CSA,Central and South America,ARG,Argentina,2003,Unknown,Age40_44,[40-44],0,0,,
CSA,Central and South America,ARG,Argentina,2004,Unknown,Age35_39,[35-39],0,0,,
CSA,Central and South America,ARG,Argentina,2004,Unknown,Age45_49,[45-49],0,,,
CSA,Central and South America,ARG,Argentina,2005,Unknown,Age40_44,[40-44],0,0,,
CSA,Central and South America,ARG,Argentina,2006,Unknown,Age45_49,[45-49],0,0,,
CSA,Central and South America,ARG,Argentina,2008,Unknown,Age35_39,[35-39],0,0,,
CSA,Central and South America,ARG,Argentina,2008,Unknown,Age45_49,[45-49],0,0,,
CSA,Central and South America,ARG,Argentina,2010,Unknown,Age45_49,[45-49],0,0,,
CSA,Central and South America,ARG,Argentina,2012,Unknown,Age35_39,[35-39],0,0,,
CSA,Central and South America,ARG,Argentina,2012,Unknown,Age45_49,[45-49],0,0,,
CSA,Central and South America,ARG,Argentina,2013,Unknown,Age50_54,[50-54],1,10,,
CSA,Central and South America,ARG,Argentina,2014,Unknown,Age45_49,[45-49],0,0,,
CSA,Central and South America,MEX,Mexico,1998,Unknown,Age40_44,[40-44],0,0,,
CSA,Central and South America,MEX,Mexico,1998,Unknown,Age50_54,[50-54],0,0,,
CSA,Central and South America,MEX,Mexico,2003,Unknown,Age35_39,[35-39],0,0,,
EU,Europe,BEL,Belgium,1998,Unknown,Age45_49,[45-49],0,,,
EU,Europe,BEL,Belgium,1998,Unknown,Age50_54,[50-54],0,,,
CSA,Central and South America,BRA,Brazil,2001,Unknown,Age35_39,[35-39],0,0,,
CSA,Central and South America,BRA,Brazil,2001,Unknown,Age40_44,[40-44],0,0,,
CSA,Central and South America,BRA,Brazil,2003,Unknown,Age35_39,[35-39],0,0,,
CSA,Central and South America,BRA,Brazil,2003,Unknown,Age40_44,[40-44],0,0,,
CSA,Central and South America,BRA,Brazil,2003,Unknown,Age45_49,[45-49],0,0,,
CSA,Central and South America,BRA,Brazil,2003,Unknown,Age50_54,[50-54],1,16.66666667,,
CSA,Central and South America,BRA,Brazil,2005,Unknown,Age35_39,[35-39],0,0,,
CSA,Central and South America,BRA,Brazil,2005,Unknown,Age40_44,[40-44],0,0,,
CSA,Central and South America,BRA,Brazil,2005,Unknown,Age45_49,[45-49],0,0,,
CSA,Central and South America,BRA,Brazil,2011,Unknown,Age35_39,[35-39],0,0,,
CSA,Central and South America,BRA,Brazil,2011,Unknown,Age40_44,[40-44],0,0,,
CSA,Central and South America,BRA,Brazil,2011,Unknown,Age45_49,[45-49],0,0,,
