Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
CSA,Central and South America,BRA,Brazil,1996,Unknown,Age80_84,[80-84],0,0,,
CSA,Central and South America,BRA,Brazil,1996,Unknown,Age85_over,[85+],0,0,,
CSA,Central and South America,BRA,Brazil,1997,Unknown,Age75_79,[75-79],0,0,,
CSA,Central and South America,BRA,Brazil,1997,Unknown,Age80_84,[80-84],0,0,,
CSA,Central and South America,BRA,Brazil,1998,Unknown,Age75_79,[75-79],0,0,,
CSA,Central and South America,BRA,Brazil,1998,Unknown,Age80_84,[80-84],0,0,,
CSA,Central and South America,BRA,Brazil,1998,Unknown,Age85_over,[85+],0,0,,
CSA,Central and South America,BRA,Brazil,2007,Unknown,Age80_84,[80-84],0,0,,
CSA,Central and South America,BRA,Brazil,2007,Unknown,Age85_over,[85+],0,0,,
CSA,Central and South America,BRA,Brazil,2013,Unknown,Age85_over,[85+],0,0,,
CSA,Central and South America,BRA,Brazil,2014,Unknown,Age75_79,[75-79],0,0,,
CSA,Central and South America,BRA,Brazil,2014,Unknown,Age80_84,[80-84],0,0,,
CSA,Central and South America,BRA,Brazil,2014,Unknown,Age85_over,[85+],0,0,,
CSA,Central and South America,COL,Colombia,2000,Unknown,Age85_over,[85+],0,0,,
CSA,Central and South America,COL,Colombia,2003,Unknown,Age75_79,[75-79],0,,,
CSA,Central and South America,COL,Colombia,2013,Unknown,Age75_79,[75-79],0,,,
CSA,Central and South America,GTM,Guatemala,1986,Unknown,Age85_over,[85+],0,0,,
CSA,Central and South America,GTM,Guatemala,1988,Unknown,Age75_79,[75-79],0,0,,
CSA,Central and South America,GTM,Guatemala,1988,Unknown,Age80_84,[80-84],0,0,,
CSA,Central and South America,GTM,Guatemala,1988,Unknown,Age85_over,[85+],0,0,,
CSA,Central and South America,ARG,Argentina,1998,Unknown,Age75_79,[75-79],0,0,,
CSA,Central and South America,ARG,Argentina,2000,Unknown,Age75_79,[75-79],0,0,,
CSA,Central and South America,ARG,Argentina,2000,Unknown,Age80_84,[80-84],0,0,,
CSA,Central and South America,ARG,Argentina,2000,Unknown,Age85_over,[85+],1,16.66666667,,
CSA,Central and South America,ARG,Argentina,2002,Unknown,Age85_over,[85+],0,0,,
CSA,Central and South America,ARG,Argentina,2006,Unknown,Age75_79,[75-79],0,0,,
CSA,Central and South America,ARG,Argentina,2006,Unknown,Age80_84,[80-84],0,0,,
CSA,Central and South America,ARG,Argentina,2010,Unknown,Age75_79,[75-79],0,0,,
CSA,Central and South America,ARG,Argentina,2010,Unknown,Age80_84,[80-84],0,0,,
CSA,Central and South America,ARG,Argentina,2011,Unknown,Age75_79,[75-79],0,0,,
CSA,Central and South America,ARG,Argentina,2011,Unknown,Age80_84,[80-84],0,0,,
CSA,Central and South America,ARG,Argentina,2011,Unknown,Age85_over,[85+],0,0,,
CSA,Central and South America,ARG,Argentina,2014,Unknown,Age75_79,[75-79],0,0,,
CSA,Central and South America,MEX,Mexico,1998,Unknown,Age75_79,[75-79],0,0,,
CSA,Central and South America,MEX,Mexico,2003,Unknown,Age80_84,[80-84],0,0,,
CSA,Central and South America,MEX,Mexico,2003,Unknown,Age85_over,[85+],0,0,,
CSA,Central and South America,MEX,Mexico,2006,Unknown,Age75_79,[75-79],0,0,,
CSA,Central and South America,MEX,Mexico,2006,Unknown,Age80_84,[80-84],0,0,,
CSA,Central and South America,MEX,Mexico,2006,Unknown,Age85_over,[85+],0,0,,
CSA,Central and South America,MEX,Mexico,2007,Unknown,Age75_79,[75-79],0,0,,
CSA,Central and South America,ARG,Argentina,1997,Unknown,Age75_79,[75-79],0,0,,
CSA,Central and South America,ARG,Argentina,1997,Unknown,Age85_over,[85+],3,0.48154093,,
CSA,Central and South America,ARG,Argentina,1998,Unknown,Age85_over,[85+],0,0,,
CSA,Central and South America,ARG,Argentina,2002,Unknown,Age75_79,[75-79],0,0,,
CSA,Central and South America,ARG,Argentina,2003,Unknown,Age80_84,[80-84],0,0,,
CSA,Central and South America,ARG,Argentina,2004,Unknown,Age75_79,[75-79],0,0,,
CSA,Central and South America,ARG,Argentina,2004,Unknown,Age85_over,[85+],0,0,,
CSA,Central and South America,ARG,Argentina,2005,Unknown,Age80_84,[80-84],0,0,,
CSA,Central and South America,ARG,Argentina,2006,Unknown,Age85_over,[85+],0,0,,
CSA,Central and South America,ARG,Argentina,2008,Unknown,Age75_79,[75-79],0,0,,
CSA,Central and South America,ARG,Argentina,2008,Unknown,Age85_over,[85+],0,0,,
CSA,Central and South America,ARG,Argentina,2009,Unknown,Age80_84,[80-84],0,0,,
CSA,Central and South America,ARG,Argentina,2010,Unknown,Age85_over,[85+],0,0,,
CSA,Central and South America,ARG,Argentina,2012,Unknown,Age75_79,[75-79],0,0,,
CSA,Central and South America,ARG,Argentina,2012,Unknown,Age85_over,[85+],0,0,,
CSA,Central and South America,ARG,Argentina,2014,Unknown,Age85_over,[85+],0,0,,
CSA,Central and South America,MEX,Mexico,1998,Unknown,Age80_84,[80-84],0,0,,
CSA,Central and South America,MEX,Mexico,2003,Unknown,Age75_79,[75-79],0,0,,
